 C (Z = 6) Atomic weight: Ar = 12.01100 g mol-1   Nominal density:   ρ (g cm-3) = 2.2600
    σa(barns/atom) = [μ/ρ](cm2 g-1)  ×  1.99447E+01 
    E(eV) [μ/ρ](cm2 g-1) = f2(e atom-1)  ×  3.50348E+06 
    3 edges. Edge energies (keV):

     
      K      2.83800E-01  L I    1.95100E-02  L II   6.40000E-03 

    Relativistic correction estimate frel (H82,3/5CL) = -4.1810E-03, -1.8000E-03 e atom-1 
    Nuclear Thomson correction fNT = -1.6442E-03 e atom-1 

Form Factors, Attenuation and Scattering Cross-sections
Z=6, E = 1 - 100 keV

      E            f1          f2        [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]K      lambda
                                      Photoelectric Coh+inc      Total
     keV        e atom-1      e atom-1   cm2 g-1       cm2 g-1      cm2 g-1   cm2 g-1     nm
5.471721E+01  6.00062E+00  1.1694E-04  7.4873E-03  1.7573E-01  1.8322E-01  7.103E-03  2.266E-02
5.849270E+01  6.00054E+00  1.0023E-04  6.0033E-03  1.7283E-01  1.7883E-01  5.694E-03  2.120E-02
6.252870E+01  6.00048E+00  8.5909E-05  4.8135E-03  1.6993E-01  1.7474E-01  4.564E-03  1.983E-02
6.684318E+01  6.00042E+00  7.3635E-05  3.8595E-03  1.6705E-01  1.7091E-01  3.659E-03  1.855E-02
7.145536E+01  6.00037E+00  6.3115E-05  3.0945E-03  1.6417E-01  1.6726E-01  2.933E-03  1.735E-02
7.638578E+01  6.00033E+00  5.4098E-05  2.4812E-03  1.6128E-01  1.6376E-01  2.351E-03  1.623E-02
8.165640E+01  6.00029E+00  4.6381E-05  1.9900E-03  1.5840E-01  1.6039E-01  1.885E-03  1.518E-02
8.729069E+01  6.00025E+00  3.9791E-05  1.5970E-03  1.5551E-01  1.5711E-01  1.513E-03  1.420E-02
9.331374E+01  6.00022E+00  3.4136E-05  1.2816E-03  1.5262E-01  1.5390E-01  1.214E-03  1.329E-02
9.975239E+01  6.00020E+00  2.9285E-05  1.0286E-03  1.4973E-01  1.5076E-01  9.737E-04  1.243E-02
